Formato,Nome Formato,Programas que usam formato,Autor
7z,7z compressed archive file,7Zip WinRAR WinZip,7-Zip and Igor Pavlov
ace,WinAce Compressed File,E-merge WinAce (Windows) ESTsoft ALZip (Windows) IZArc (Windows) MacUnace (Mac) PeaZip (Windows) The Unarchiver (Mac),WinAce
apk,Android Package File,Google Android SDK 7-Zip WinRar Android phones,Android
bz2,BZzip2 compressed archive file,Corel WinZip Smith Micro StuffIt Deluxe 2010 WinRAR 5 PeaZipExternal Link 7-Zip Incredible Bee Archiver The Unarchiver,Julian Seward
crx,Chrome Extension,"7-Zip (Windows) Google Chrome (Windows, Mac & Linux)",Google
dd,DiskDoubler Archive,DDExpand (Mac) SuperDoubler (Mac) Symantec Norton DiskDoubler (Mac) The Unarchiver (Mac),Symantec
deb,Debian Software Package,7-Zip (Windows) Adept (Linux) Cydia (iOS) Debian package management system (Linux) IZArc (Windows) Synaptic Package Manager (Linux),
gz,Gnu Zipped Archive File,Smith Micro StuffIt Deluxe 2010 Corel WinZip 18.5 7-Zip Xarchive WinRAR 5,The GNU Project
gzip,Gnu Zipped File,Smith Micro Stufflt Deluxe 2010 (Windows) Corel WinZip 18.5 (Windows) 7-Zip (Windows) Smith Micro Stufflt Deluxe 16 (Mac) Apple archive Utility (Mac) Gzip (Linux) Xarchive (Linux),"Jean-loup Gailly, Mark Adler"
jar,Java Archive File,Oracle Java Runtime Environment Corel WinZip Mac Edition 3 Apple Jar Launcher Web Browsers,"Netscape, Sun Microsystems, Oracle Corporation"
mht,Multipurpose Internet Mail Extension HTML,Mozilla Firefox Google Chrome Microsoft Internet Explorer Safari,Microsoft
mpkg,Meta Package File,Apple Installer (Mac),
pup,PlayStation 3 Update File,PS3 PUP Extractor (Windows),Sony
r01,WinRAR Split Archive Part 1,7-Zip (Windows) Corel WinZip (Windows) Incredible Bee Archiver (Mac) RARLAB RAR (Mac & Linux) WinRAR (Windows),RARLAB
rar,WinRAR Compressed Archive,7Zip StuffIt WinRAR WinZip,Eugene Roshal
rpm,Red Hat Package Manager File,Alien (Linux) Incredible Bee Archiver (Mac) Red Hat Package Manager (Linux) The Unarchiver (Mac),Red Hat
sit,StuffIt Archive,Smith Micro StuffIt Deluxe (Windows & Mac) The Unarchiver (Mac) Incredible Bee Archiver (Mac) ExtractNow (Windows),Smith Micro
sitx,StuffIt X Archive,Incredible Bee Archiver (Mac) Smith Micro StuffIt Deluxe (Windows & Mac) The Unarchiver (Mac),Smith Micro
snb,S Note File,Samsung S Note snbopen,Samsung
tar,Consolidated Unix File Archive,Apple Archive Utility GNU Tar Corel WinZip 18.5 7-Zip,The GNU Project
tar.gz,Compressed Tarball File,7-Zip (Windows) Acubix PicoZip (Windows) Apple Archive Utility (Mac) Ark (Linux) Corel WinZip (Windows) gzip (Linux) PeaZip (Windows) Smith Micro StuffIt Deluxe (Windows & Mac) The Unarchiver (Mac) WinInizio ZipGenius (Windows) WinRAR 5 (Windows) Xarchive (Linux) ZDevs ZArchiver (Android),The GNU Project
tbz,Bzip Compressed Tar Archive,7-zip (Linux) Apple Archive Utility (Mac) Smith Micro StuffIt Deluxe (Windows & Mac) Corel WinZip (Windows) Incredible Bee Archiver (Mac) tar (Linux),
tgz,Gzipped Tar File,"Smith Micro Stuffit Deluxe 2010 (Windows, Mac) WinRAR 5 (Windows) Corel WinZip 18.5 (Windows) 7-Zip (Windows) Zipeg (Windows, Mac) Incredible Bee Archiver (Mac) Tar (Linux) Gunzip (Linux) Pkgtool (Linux)",
zip,ZIP compression,StuffIt WinRAR Winzip,PKWARE
zipx,Extended Zip File,"B1 Free Archiver (Windows, Mac, Linux & Android) ConeXware PowerArchiver (Windows) Corel WinZip (Windows & Mac) PeaZip (Windows) RARLAB RAR (Android) The Unarchiver (Mac)",Corel
3ga,3GPP Audio File,Windows Media Player QuickTime Player VLC Media Player,3rd Generation Partnership Project (3GPP)
aa,Audible Audio Book File,Audible AudibleManager (Windows) Apple iTunes (Windows & Mac) Nero (Windows) Audials Tunebite (Windows) SoundTaxi Media Suite (Windows) TuneCab (Windows),Audible
aac,MPEG-2 Advanced Audio Coding File,Windows Media Player iTunes KMPlayer RealPlayer VideoLAN VLC Media Player,"Fraunhofer IIS, AT&T Bell Laboratories, Dolby, and Sony Corporation"
aax,Audible Enhanced Audiobook File,Apple iTunes (Windows & Mac),Audible
adpcm,Adaptive Differential Pulse-Code Modulation File,,
aif,Audio Interchange File Format,Windows Media Player Apple Quicktime Winamp VLC Media Player,Apple Inc
aifc,Compressed Audio Interchange File,Apple iTunes Apple QuickTime Player Microsoft Windows Media Adobe Audition CC Vgmstream Cog,Apple
aiff,Audio Interchage File Format,Apple QuickTime VLC media Player Winamp Windows Media Player,Apple Inc
amr,Adaptive Multi-Rate Codec File,Audacity Android Open Source software AMR Player QuickTime Real Player VLS Media Player Apple iPhone,3rd Generation Partnership Project (3GPP)
ape,Monkey's Audio Lossless Audio File,Adobe Audition CC 2015 AIMP Cog Monkey's Audio MPlayer NCH WavePad Nullsoft Winamp with Monkey's Audio Plugin,Matthew T. Ashland
asx,Microsoft Advanced Stream Redirector File,Microsoft Windows Media Player Nullsoft Winamp Roxio Creator NXT Pro 3 Ventis Media MediaMonkey 4 GRETECH GOM Player VideoLAN VLC media player,Microsoft
au,Audio File,Nullsoft Winamp Apple QuickTime Player Microsoft Windows Media Player RealNetworks RealPlayer Cloud Adobe Audition CC,Sun Microsystems
aup,Audacity Project File,Audacity,Audacity
awb,AMR-WB Audio File,AMR Player FairStars Audio Converter Nokia Multimedia Converter,Nokia
caf,Apple Core Audio Format,Soundtrack Pro Logic Studio QuickTime,Apple Inc
cda,CD Audio Track Shortcut,Nullsoft Winap VideoLAN VLC media player Apple iTunes Microsoft windows Media Player,
cdo,Crescendo Music Notation File,NCH Crescendo Music Notation Editor (Windows),NCH Software
flac,Free Lossless Audio Codec File,Real Player VLC Media Player Windows Media Player,Xiph.Org Foundation
